"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"BusinessMilestone","Business Milestone","SourceSystemIdentifier","Source System Identifier","string",255,true,"[]",,true,true,,"[]",false
"BusinessMilestone","Business Milestone","SourceSystem","Source System","string",255,true,"[]",,false,true,,"[]",false
"BusinessMilestone","Business Milestone","MilestoneSiteId","Location ID","reference",18,true,"[""Location""]","MilestoneSite",false,true,,"[]",false
"BusinessMilestone","Business Milestone","MilestoneDescription","Milestone Description","textarea",32000,true,"[]",,false,true,,"[]",false
"BusinessMilestone","Business Milestone","IsExpired","Expired","boolean",0,false,"[]",,false,true,,"[]",false
"BusinessMilestone","Business Milestone","ExpirationDate","Expiration Date","datetime",0,true,"[]",,false,true,,"[]",false
"BusinessMilestone","Business Milestone","ExpirationDescription","Expiration Description","textarea",32000,true,"[]",,false,true,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"BusinessMilestoneFeed","Business Milestone Feed","Id","Feed Item ID","id",18,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","ParentId","Parent ID","reference",18,false,"[""BusinessMilestone""]","Parent",false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","Type","Feed Item Type","picklist",40,true,"[]",,false,false,,"[""Tracked Change"",""User Status"",""Text Post"",""Advanced Text Post"",""Link Post"",""Content Post"",""Poll"",""Work.com Thanks"",""Profile Skill Post"",""Dashboard Component Snapshot"",""Approval Post"",""Case Comment Feed"",""Reply Post"",""Email Message Feed"",""Call Log Feed"",""Change Status Feed"",""Attached Article"",""Milestone Event"",""Activity Change"",""Chat Transcript Post"",""Collaboration Group Created"",""Collaboration Group Reactivated"",""Social Post"",""Question Post"",""Facebook Post"",""Basic Template Post"",""Created Record"",""Canvas"",""a""]",false
"BusinessMilestoneFeed","Business Milestone Feed","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","CommentCount","Comment Count","int",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","LikeCount","Like Count","int",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","Title","Title","string",255,true,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","Body","Body","textarea",10000,true,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","LinkUrl","Link Url","url",1000,true,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","IsRichText","Is Rich Text","boolean",0,false,"[]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","RelatedRecordId","Related Record ID","reference",18,true,"[""ContentVersion"",""WorkThanks""]",,false,false,,"[]",false
"BusinessMilestoneFeed","Business Milestone Feed","InsertedById","InsertedBy ID","reference",18,true,"[""User""]","InsertedBy",false,false,,"[]",false
